iter	Passed	Remaining
401	18102	26928
402	18146	26881
403	18202	26853
404	18248	26809
405	18293	26763
406	18336	26715
407	18377	26665
408	18418	26614
409	18461	26567
410	18509	26525
411	18556	26482
412	18601	26438
413	18645	26392
414	18688	26344
415	18732	26297
416	18775	26249
417	18816	26199
418	18863	26157
419	18907	26110
420	18950	26063
421	18995	26017
422	19039	25971
423	19082	25923
424	19126	25876
425	19171	25832
426	19215	25786
427	19260	25740
428	19304	25693
429	19349	25649
430	19393	25602
431	19437	25557
432	19483	25513
433	19527	25466
434	19570	25419
435	19614	25372
436	19658	25326
437	19701	25279
438	19746	25233
439	19796	25195
440	19839	25147
441	19884	25102
442	19927	25055
443	19973	25011
444	20016	24964
445	20062	24920
446	20105	24873
447	20151	24829
448	20194	24781
449	20234	24731
450	20280	24687
451	20323	24639
452	20366	24593
453	20410	24546
454	20457	24503
455	20501	24457
456	20547	24414
457	20606	24386
458	20652	24341
459	20696	24296
460	20740	24250
461	20786	24206
462	20831	24161
463	20877	24116
464	20922	24071
465	20969	24029
466	21014	23984
467	21057	23936
468	21101	23890
469	21144	23843
470	21205	23816
471	21251	23772
472	21294	23725
473	21338	23679
474	21381	23631
475	21424	23585
476	21467	23537
477	21510	23490
478	21556	23446
479	21602	23402
480	21646	23356
481	21696	23317
482	21740	23271
483	21785	23225
484	21828	23178
485	21872	23132
486	21915	23085
487	21959	23039
488	22002	22992
489	22045	22945
490	22092	22902
491	22135	22855
492	22176	22806
493	22219	22758
494	22261	22711
495	22302	22662
496	22345	22615
497	22397	22576
498	22441	22531
499	22483	22483
500	22525	22435
501	22570	22391
502	22613	22343
503	22657	22297
504	22702	22252
505	22742	22203
506	22788	22159
507	22832	22113
508	22882	22073
509	22927	22028
510	22968	21979
511	23011	21932
512	23054	21885
513	23099	21840
514	23141	21793
515	23191	21753
516	23233	21705
517	23276	21659
518	23318	21611
519	23364	21567
520	23407	21520
521	23449	21472
522	23492	21425
523	23538	21382
524	23588	21341
525	23631	21295
526	23676	21250
527	23719	21204
528	23761	21155
529	23804	21109
530	23846	21062
531	23890	21016
532	23931	20968
533	23975	20922
534	24017	20875
535	24060	20828
536	24102	20780
537	24147	20736
538	24191	20690
539	24234	20644
540	24277	20597
541	24319	20550
542	24366	20507
543	24408	20460
544	24453	20415
545	24495	20368
546	24538	20321
547	24581	20275
548	24625	20229
549	24668	20183
550	24709	20135
551	24754	20090
552	24798	20045
553	24843	20000
554	24885	19953
555	24929	19907
556	24975	19864
557	25018	19817
558	25057	19768
559	25101	19722
560	25143	19675
561	25186	19629
562	25230	19583
563	25271	19535
564	25315	19490
565	25359	19445
566	25405	19401
567	25448	19355
568	25491	19308
569	25534	19263
570	25576	19215
571	25619	19169
572	25667	19127
573	25710	19081
574	25752	19034
575	25797	18989
576	25840	18943
577	25881	18896
578	25924	18849
579	25969	18805
580	26010	18757
581	26052	18711
582	26095	18665
583	26139	18620
584	26183	18574
585	26228	18530
586	26272	18484
587	26316	18439
588	26367	18399
589	26412	18354
590	26453	18306
591	26494	18259
592	26535	18212
593	26579	18167
594	26623	18121
595	26668	18077
596	26711	18031
597	26753	17984
598	26797	17939
599	26841	17894
600	26882	17847
601	26926	17802
602	26971	17757
603	27014	17711
604	27058	17666
605	27100	17619
606	27141	17572
607	27182	17525
608	27226	17480
609	27269	17434
610	27311	17388
611	27354	17342
612	27396	17296
613	27439	17250
614	27483	17205
615	27527	17160
616	27573	17116
617	27616	17070
618	27666	17029
619	27711	16984
620	27755	16939
621	27799	16894
622	27842	16848
623	27886	16803
624	27929	16757
625	27972	16711
626	28015	16666
627	28067	16625
628	28109	16579
629	28151	16533
630	28195	16488
631	28241	16444
632	28284	16398
633	28326	16352
634	28367	16305
635	28409	16259
636	28453	16214
637	28498	16170
638	28540	16123
639	28583	16078
640	28627	16033
641	28670	15987
642	28715	15942
643	28758	15897
644	28802	15852
645	28845	15807
646	28886	15760
647	28928	15714
648	28971	15668
649	29014	15623
650	29060	15579
651	29123	15544
652	29198	15515
653	29241	15470
654	29282	15423
655	29324	15377
656	29368	15332
657	29410	15286
658	29453	15240
659	29497	15195
660	29540	15150
661	29583	15104
662	29626	15058
663	29669	15013
664	29710	14967
665	29768	14929
666	29812	14883
667	29856	14838
668	29902	14795
669	29949	14751
670	29994	14706
671	30036	14660
672	30080	14615
673	30123	14569
674	30165	14524
675	30208	14478
676	30250	14432
677	30293	14387
678	30337	14342
679	30380	14296
680	30423	14251
681	30467	14206
682	30509	14160
683	30559	14118
684	30603	14073
685	30649	14029
686	30691	13983
687	30733	13937
688	30776	13891
689	30818	13845
690	30862	13801
691	30904	13755
692	30946	13709
693	30988	13663
694	31031	13618
695	31075	13573
696	31120	13528
697	31160	13482
698	31203	13436
699	31246	13391
700	31290	13346
701	31333	13300
702	31376	13255
703	31417	13209
704	31460	13164
705	31504	13119
706	31557	13078
707	31600	13033
708	31651	12990
709	31694	12945
710	31745	12903
711	31785	12857
712	31831	12812
713	31880	12769
714	31923	12724
715	31967	12679
716	32010	12634
717	32055	12590
718	32099	12545
719	32142	12499
720	32183	12453
721	32227	12408
722	32271	12363
723	32315	12319
724	32359	12274
725	32403	12229
726	32451	12186
727	32498	12142
728	32555	12102
729	32601	12058
730	32656	12017
731	32702	11973
732	32753	11930
733	32797	11885
734	32850	11844
735	32895	11799
736	32942	11755
737	32986	11710
738	33031	11666
739	33076	11621
740	33119	11576
741	33160	11530
742	33203	11485
743	33246	11439
744	33290	11394
745	33334	11349
746	33376	11304
747	33419	11258
748	33463	11214
749	33506	11168
750	33551	11124
751	33595	11079
752	33643	11035
753	33684	10989
754	33734	10946
755	33780	10902
756	33822	10857
757	33863	10811
758	33906	10766
759	33948	10720
760	33990	10675
761	34048	10634
762	34091	10589
763	34133	10543
764	34177	10498
765	34221	10454
766	34263	10408
767	34306	10363
768	34347	10317
769	34389	10272
770	34436	10228
771	34478	10182
772	34520	10137
773	34563	10092
774	34605	10046
775	34648	10001
776	34693	9957
777	34735	9911
778	34780	9867
779	34826	9822
780	34872	9778
781	34916	9733
782	34957	9688
783	35002	9643
784	35045	9598
785	35090	9553
786	35138	9510
787	35178	9464
788	35231	9421
789	35273	9376
790	35316	9331
791	35356	9285
792	35401	9241
793	35446	9196
794	35491	9151
795	35534	9106
796	35581	9062
797	35626	9018
798	35676	8974
799	35720	8930
800	35762	8884
801	35806	8840
802	35848	8794
803	35892	8749
804	35936	8705
805	35982	8660
806	36026	8616
807	36068	8570
808	36112	8525
809	36157	8481
810	36201	8436
811	36243	8391
812	36287	8346
813	36337	8303
814	36381	8258
815	36430	8214
816	36470	8168
817	36511	8123
818	36556	8079
819	36600	8034
820	36644	7989
821	36684	7943
822	36727	7898
823	36770	7853
824	36816	7809
825	36860	7764
826	36904	7720
827	36948	7675
828	36992	7630
829	37038	7586
830	37080	7541
831	37122	7495
832	37165	7451
833	37207	7405
834	37249	7360
835	37292	7315
836	37335	7270
837	37379	7226
838	37425	7181
839	37469	7136
840	37512	7092
841	37555	7047
842	37598	7002
843	37641	6957
844	37681	6912
845	37723	6866
846	37765	6821
847	37812	6777
848	37853	6732
849	37895	6687
850	37939	6642
851	37982	6597
852	38026	6553
853	38068	6508
854	38111	6463
855	38154	6418
856	38198	6373
857	38242	6329
858	38284	6284
859	38327	6239
860	38371	6194
861	38422	6151
862	38466	6106
863	38510	6061
864	38556	6017
865	38598	5972
866	38639	5927
867	38683	5882
868	38726	5837
869	38768	5792
870	38811	5748
871	38852	5703
872	38895	5658
873	38940	5613
874	38985	5569
875	39029	5524
876	39071	5479
877	39116	5435
878	39159	5390
879	39202	5345
880	39244	5300
881	39288	5256
882	39331	5211
883	39374	5166
884	39426	5123
885	39468	5078
886	39510	5033
887	39553	4988
888	39596	4944
889	39638	4899
890	39683	4854
891	39730	4810
892	39772	4765
893	39815	4720
894	39856	4675
895	39901	4631
896	39945	4586
897	39989	4542
898	40032	4497
899	40075	4452
900	40117	4408
901	40161	4363
902	40207	4319
903	40250	4274
904	40294	4229
905	40337	4185
906	40380	4140
907	40426	4096
908	40467	4051
909	40512	4006
910	40560	3962
911	40613	3918
912	40656	3874
913	40707	3830
914	40754	3785
915	40798	3741
916	40842	3696
917	40886	3652
918	40928	3607
919	40971	3562
920	41017	3518
921	41061	3473
922	41115	3430
923	41157	3385
924	41201	3340
925	41243	3295
926	41284	3251
927	41323	3206
928	41367	3161
929	41411	3116
930	41454	3072
931	41498	3027
932	41540	2983
933	41584	2938
934	41626	2893
935	41670	2849
936	41722	2805
937	41767	2760
938	41810	2716
939	41853	2671
940	41898	2627
941	41941	2582
942	41983	2537
943	42028	2493
944	42070	2448
945	42111	2403
946	42151	2359
947	42196	2314
948	42238	2269
949	42284	2225
950	42328	2180
951	42372	2136
952	42415	2091
953	42459	2047
954	42505	2002
955	42547	1958
956	42606	1914
957	42651	1869
958	42695	1825
959	42737	1780
960	42780	1736
961	42822	1691
962	42866	1647
963	42909	1602
964	42952	1557
965	42999	1513
966	43040	1468
967	43085	1424
968	43128	1379
969	43170	1335
970	43213	1290
971	43257	1246
972	43302	1201
973	43347	1157
974	43390	1112
975	43434	1068
976	43476	1023
977	43519	978
978	43564	934
979	43613	890
980	43657	845
981	43706	801
982	43749	756
983	43793	712
984	43834	667
985	43878	623
986	43920	578
987	43962	533
988	44005	489
989	44047	444
990	44090	400
991	44134	355
992	44176	311
993	44221	266
994	44261	222
995	44304	177
996	44348	133
997	44393	88
998	44437	44
999	44478	0
