iter	RMSE
145	1584.761339
146	1584.25351
147	1583.318273
148	1582.232541
149	1581.017327
150	1579.69824
151	1579.014571
152	1578.174643
153	1577.211593
154	1576.348284
155	1575.292854
156	1574.525414
157	1573.684255
158	1573.012011
159	1572.167655
160	1571.331648
161	1570.337808
162	1569.604565
163	1568.62473
164	1567.872773
165	1567.361604
166	1566.558776
167	1565.4836
168	1564.289489
169	1563.353374
170	1562.767455
171	1562.260137
172	1561.191592
173	1560.357994
174	1559.519174
175	1558.238309
176	1557.786034
177	1556.799845
178	1555.975355
179	1555.305994
180	1554.501918
181	1553.637984
182	1552.877265
183	1552.218762
184	1551.415869
185	1550.881953
186	1550.201249
187	1549.35985
188	1548.681531
189	1548.160397
190	1547.551519
191	1546.92761
192	1545.986941
193	1544.845663
194	1544.078853
195	1543.075899
196	1542.587467
197	1541.686424
198	1541.315567
199	1540.816875
200	1540.270322
201	1539.805824
202	1538.963264
203	1538.628023
204	1537.581898
205	1537.20365
206	1536.387922
207	1535.70444
208	1534.965635
209	1534.333198
210	1533.655589
211	1533.245368
212	1532.529047
213	1531.919098
214	1531.509831
215	1530.746089
216	1530.250565
217	1529.311962
218	1528.838234
219	1528.620427
220	1527.640303
221	1527.081744
222	1526.373077
223	1525.896497
224	1525.367094
225	1524.739288
226	1523.978802
227	1523.233768
228	1522.272197
229	1521.678528
230	1521.272324
231	1520.98706
232	1520.108374
233	1519.57123
234	1518.903251
235	1518.262852
236	1517.274216
237	1516.75644
238	1516.241989
239	1515.908626
240	1515.449027
241	1515.123377
242	1514.590376
243	1513.9501
244	1513.569818
245	1512.969467
246	1512.368277
247	1511.75927
248	1511.125627
249	1510.244072
250	1509.327145
251	1508.896306
252	1508.403947
253	1507.929262
254	1507.509083
255	1507.061834
256	1506.614836
257	1506.041404
258	1505.790549
259	1505.249759
260	1504.626459
261	1504.286836
262	1503.825219
263	1503.257069
264	1502.872441
265	1502.529645
266	1502.125666
267	1501.615956
268	1501.254763
269	1500.818589
270	1500.332646
271	1499.825321
272	1499.36689
273	1498.539681
274	1497.919571
275	1497.480782
276	1496.865396
277	1496.272278
278	1495.863801
279	1495.567057
280	1495.05434
281	1494.710933
282	1494.400834
283	1493.551359
284	1493.132678
285	1492.509446
286	1492.12597
287	1491.476166
288	1491.002005
289	1490.567293
290	1490.066915
291	1489.623983
292	1489.303525
293	1488.795548
294	1488.427859
295	1487.984707
296	1487.320496
297	1486.899547
298	1485.964735
299	1485.534716
300	1485.119222
301	1484.714276
302	1484.416717
303	1483.86792
304	1483.493834
305	1483.00806
306	1482.655804
307	1482.324693
308	1481.914125
309	1481.338215
310	1480.887302
311	1480.29133
312	1480.020706
313	1479.684888
314	1479.074623
315	1478.774125
316	1478.305794
317	1477.70972
318	1477.555262
319	1477.022433
320	1476.690404
321	1476.156179
322	1475.361207
323	1474.946642
324	1474.551788
325	1474.045256
326	1473.452807
327	1473.077714
328	1472.520973
329	1472.165627
330	1471.930418
331	1471.62238
332	1471.117961
333	1470.750215
334	1470.442725
335	1470.095635
336	1469.550776
337	1469.152027
338	1468.605685
339	1468.165813
340	1467.650389
341	1467.417465
342	1467.210055
343	1466.768187
344	1466.481803
345	1466.144905
346	1465.771121
347	1465.426589
348	1465.179412
349	1464.92679
350	1464.635794
351	1464.389319
352	1463.933683
353	1463.605135
354	1463.230031
355	1462.826909
356	1462.424196
357	1461.914861
358	1461.514807
359	1461.317278
360	1460.946659
361	1460.681592
362	1460.179258
363	1459.813881
364	1459.356527
365	1458.941333
366	1458.633635
367	1458.213125
368	1457.744524
369	1457.520493
370	1457.041828
371	1456.58578
372	1456.2115
373	1455.721484
374	1455.291604
375	1454.901944
376	1454.575134
377	1454.172168
378	1453.681171
379	1453.424821
380	1453.029588
381	1452.284046
382	1451.921531
383	1451.468739
384	1451.198315
385	1450.777505
386	1450.50702
387	1450.227986
388	1450.01705
389	1449.769812
390	1449.139401
391	1448.563637
392	1448.221079
393	1447.94196
394	1447.789038
395	1447.323824
396	1446.925235
397	1446.751848
398	1446.425727
399	1446.183433
400	1445.653305
401	1445.219874
402	1444.781744
403	1444.56164
404	1444.173009
405	1443.707183
406	1443.438085
407	1443.261565
408	1442.888098
409	1442.580921
410	1442.207971
411	1442.039271
412	1441.586541
413	1441.247833
414	1440.871173
415	1440.518885
416	1440.182289
417	1439.870152
418	1439.542742
419	1439.307751
420	1438.869976
421	1438.706191
422	1438.44069
423	1437.969364
424	1437.681863
425	1437.474517
426	1437.303415
427	1437.09699
428	1436.700314
429	1436.04875
430	1435.826355
431	1435.561561
432	1435.272175
433	1435.019564
434	1434.878272
435	1434.474569
436	1434.273867
437	1433.924825
438	1433.598183
439	1433.134838
440	1432.931986
441	1432.700897
442	1432.474008
443	1432.072024
444	1431.74096
445	1431.358738
446	1430.986265
447	1430.733847
448	1430.457376
449	1430.014439
450	1429.726821
451	1429.470708
452	1429.161383
453	1428.910122
454	1428.655046
455	1428.40686
456	1428.075689
457	1427.655938
458	1427.443196
459	1427.023083
460	1426.814884
461	1426.536898
462	1426.23336
463	1425.953144
464	1425.726156
465	1425.429611
466	1425.232964
467	1425.08666
468	1424.906982
469	1424.638692
470	1424.274878
471	1423.959747
472	1423.755877
473	1423.546019
474	1423.290177
475	1423.013436
476	1422.824078
477	1422.459395
478	1422.023571
479	1421.713682
480	1421.507597
481	1421.243933
482	1421.166557
483	1421.005168
484	1420.714607
485	1420.61394
486	1420.323559
487	1420.18354
488	1419.880558
489	1419.534478
490	1419.106111
491	1418.538333
492	1418.152829
493	1417.953417
494	1417.78958
495	1417.481728
496	1417.154649
497	1416.900946
498	1416.736887
499	1416.383677
500	1416.12901
501	1415.793462
502	1415.633589
503	1415.439608
504	1415.039124
505	1414.825082
506	1414.517033
507	1414.20588
508	1413.787466
509	1413.45462
510	1413.221272
511	1412.915289
512	1412.791024
513	1412.466179
514	1412.157195
515	1411.872092
516	1411.685506
517	1411.523229
518	1411.3034
519	1411.021969
520	1410.735281
521	1410.529979
522	1410.37699
523	1410.000292
524	1409.725594
525	1409.470735
526	1409.259892
527	1409.063412
528	1408.851922
529	1408.578967
530	1408.173869
531	1408.014695
532	1407.864395
533	1407.683105
534	1407.298557
535	1407.090157
536	1406.89718
537	1406.696269
538	1406.509593
539	1406.342042
540	1405.934054
541	1405.731198
542	1405.360043
543	1405.136135
544	1404.888064
545	1404.455273
546	1404.257252
547	1404.068288
548	1403.89783
549	1403.719444
550	1403.322426
551	1402.971784
552	1402.742273
553	1402.442491
554	1402.177949
555	1401.920757
556	1401.424633
557	1401.127966
558	1400.823321
559	1400.50681
560	1400.35917
561	1400.151196
562	1400.035058
563	1399.658076
564	1399.403236
565	1399.149511
566	1398.739418
567	1398.451183
568	1398.228008
569	1397.900781
570	1397.737381
571	1397.519546
572	1397.300746
573	1397.223179
574	1397.027559
575	1396.813305
576	1396.641259
577	1396.400677
578	1396.109815
579	1395.887796
580	1395.692877
581	1395.37498
582	1395.129753
583	1394.970063
584	1394.701104
585	1394.301791
586	1393.977842
587	1393.717944
588	1393.540856
589	1393.313864
590	1392.900667
591	1392.607081
592	1392.326335
593	1392.091826
594	1391.741788
595	1391.535536
596	1391.364771
597	1391.246268
598	1390.926716
599	1390.742306
600	1390.570129
601	1390.397714
602	1390.249908
603	1389.92048
604	1389.685953
605	1389.514271
606	1389.3561
607	1389.150581
608	1388.87455
609	1388.745687
610	1388.572705
611	1388.319919
612	1388.136071
613	1387.997429
614	1387.843913
615	1387.511407
616	1387.382884
617	1387.179873
618	1386.862526
619	1386.610549
620	1386.244542
621	1386.100972
622	1385.929799
623	1385.507328
624	1385.277369
625	1385.109766
626	1384.902215
627	1384.757393
628	1384.595041
629	1384.443345
630	1384.183073
631	1383.982431
632	1383.71406
633	1383.558075
634	1383.352358
635	1383.200053
636	1382.942856
637	1382.726267
638	1382.587871
639	1382.420366
640	1382.257589
641	1381.966869
642	1381.7672
643	1381.482198
644	1381.322278
645	1381.238439
646	1381.034635
647	1380.83232
648	1380.62351
649	1380.426343
650	1380.104061
651	1379.943087
652	1379.879676
653	1379.756955
654	1379.56777
655	1379.174008
656	1378.950439
657	1378.679304
658	1378.551464
659	1378.37034
660	1378.244992
661	1378.055558
662	1377.721366
663	1377.551536
664	1377.259497
665	1377.067538
666	1376.79324
667	1376.505233
668	1376.185296
669	1376.042832
670	1375.656503
671	1375.421895
672	1375.246956
673	1375.039858
674	1374.800074
675	1374.617401
676	1374.465075
677	1374.346713
678	1373.915334
679	1373.759249
680	1373.549245
681	1373.297737
682	1373.173415
683	1373.026849
684	1372.880235
685	1372.802485
686	1372.501955
687	1372.330094
688	1372.110731
689	1371.866681
690	1371.633231
691	1371.376403
692	1371.170357
693	1371.033716
694	1370.649605
695	1370.49064
696	1370.28762
697	1370.118272
698	1370.010795
699	1369.60867
700	1369.461921
701	1369.372977
702	1369.146829
703	1369.032877
704	1368.656595
705	1368.391189
706	1368.264879
707	1368.146929
708	1367.987383
709	1367.795665
710	1367.501826
711	1367.346755
712	1367.144978
713	1366.667582
714	1366.490834
715	1366.32844
716	1366.062064
717	1365.759302
718	1365.641226
719	1365.517486
720	1365.230336
721	1365.10939
722	1364.955817
723	1364.794248
724	1364.599566
725	1364.422545
726	1364.203529
727	1364.081744
728	1363.937137
729	1363.802522
730	1363.589889
731	1363.252383
732	1363.114875
733	1362.888263
734	1362.700228
735	1362.487883
736	1362.190196
737	1362.113922
738	1361.921045
739	1361.534976
740	1361.367091
741	1361.155258
742	1360.968887
743	1360.768699
744	1360.55501
745	1360.392351
746	1360.315071
747	1360.034651
748	1359.923062
749	1359.838109
750	1359.609568
751	1359.418849
752	1359.204896
753	1358.988334
754	1358.851726
755	1358.733228
756	1358.518075
757	1358.272676
758	1358.14068
759	1357.861372
760	1357.718438
761	1357.482578
762	1357.374415
763	1357.234214
764	1356.953755
765	1356.728472
766	1356.523638
767	1356.405623
768	1356.261727
769	1356.001328
770	1355.834114
771	1355.669745
772	1355.476237
773	1355.297502
774	1354.969594
775	1354.690058
776	1354.561376
777	1354.394288
778	1354.243814
779	1354.100624
780	1353.995392
781	1353.902529
782	1353.71257
783	1353.498336
784	1353.214077
785	1352.948206
786	1352.884947
787	1352.765545
788	1352.648776
789	1352.39488
790	1352.33683
791	1352.220806
792	1352.080261
793	1351.944009
794	1351.746522
795	1351.594846
796	1351.401782
797	1351.253367
798	1351.041296
799	1350.900336
800	1350.653055
801	1350.494794
802	1350.31639
803	1350.023826
804	1349.945354
805	1349.724153
806	1349.602596
807	1349.484687
808	1349.264372
809	1349.179949
810	1348.992274
811	1348.902274
812	1348.738036
813	1348.464986
814	1348.342275
815	1348.134102
816	1347.940057
817	1347.853538
818	1347.724714
819	1347.628712
820	1347.387484
821	1347.213247
822	1347.01221
823	1346.939394
824	1346.660205
825	1346.52472
826	1346.403144
827	1346.270357
828	1346.151398
829	1345.973238
830	1345.788285
831	1345.673945
832	1345.530014
833	1345.381703
834	1345.21841
835	1345.020943
836	1344.820944
837	1344.66694
838	1344.541726
839	1344.343092
840	1344.175652
841	1344.121993
842	1344.007512
843	1343.873285
844	1343.791833
845	1343.613418
846	1343.448129
847	1343.35172
848	1343.168639
849	1343.013853
850	1342.909041
851	1342.756154
852	1342.620502
853	1342.499942
854	1342.38205
855	1342.229062
856	1342.037095
857	1341.804187
858	1341.682805
859	1341.586146
860	1341.441642
861	1341.30346
862	1340.998307
863	1340.666384
864	1340.509046
865	1340.369276
866	1340.26724
867	1340.01152
868	1339.871673
869	1339.721408
870	1339.561347
871	1339.256918
872	1339.129705
873	1338.965355
874	1338.862343
875	1338.604897
876	1338.54221
877	1338.347847
878	1338.154932
879	1338.04108
880	1337.952703
881	1337.875102
882	1337.763213
883	1337.639782
884	1337.495368
885	1337.392166
886	1337.236973
887	1337.038378
888	1336.936508
889	1336.816908
890	1336.694386
891	1336.574988
892	1336.430389
893	1336.305382
894	1336.162843
895	1336.059695
896	1335.867695
897	1335.750054
898	1335.671106
899	1335.572591
900	1335.481821
901	1335.248713
902	1335.095024
903	1334.975492
904	1334.860728
905	1334.644508
906	1334.527153
907	1334.451535
908	1334.269662
909	1333.95081
910	1333.841346
911	1333.66624
912	1333.557936
913	1333.353309
914	1333.217482
915	1333.122423
916	1332.904349
917	1332.738207
918	1332.567512
919	1332.359448
920	1332.195488
921	1332.049452
922	1331.897497
923	1331.722501
924	1331.482893
925	1331.399746
926	1331.29566
927	1331.134605
928	1330.849441
929	1330.742491
930	1330.56798
931	1330.431063
932	1330.225917
933	1330.036883
934	1329.845226
935	1329.752402
936	1329.658827
937	1329.595527
938	1329.468079
939	1329.378923
940	1329.269837
941	1329.088227
942	1328.99737
943	1328.888624
944	1328.800196
945	1328.643319
946	1328.452926
947	1328.350187
948	1328.186177
949	1328.10768
950	1327.92996
951	1327.797795
952	1327.700219
953	1327.512385
954	1327.269211
955	1327.112933
956	1326.970176
957	1326.872687
958	1326.711514
959	1326.559096
960	1326.446015
961	1326.329341
962	1326.209858
963	1326.064865
964	1325.998935
965	1325.718593
966	1325.511784
967	1325.400571
968	1325.281409
969	1325.180852
970	1325.105676
971	1325.000454
972	1324.823499
973	1324.731234
974	1324.633536
975	1324.443406
976	1324.279168
977	1324.115795
978	1323.892141
979	1323.73587
980	1323.386832
981	1323.245232
982	1323.069793
983	1322.983281
984	1322.838205
985	1322.721235
986	1322.563069
987	1322.488221
988	1322.3594
989	1322.200332
990	1321.9821
991	1321.911155
992	1321.862029
993	1321.730502
994	1321.614844
995	1321.486809
996	1321.391781
997	1321.281293
998	1321.044385
999	1320.930957
